orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3,3.670000000000000000,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1,55.280000000000000000,Blondel père et fils,24 place Kléber,Strasbourg,,67000,France
10266,WARTH,3,1996-07-26,1996-09-06,1996-07-31,3,25.730000000000000000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1,208.580000000000000000,Frankenversand,Berliner Platz 43,München,,80805,Germany
10268,GROSR,8,1996-07-30,1996-08-27,1996-08-02,3,66.290000000000000000,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,WHITC,5,1996-07-31,1996-08-14,1996-08-09,1,4.560000000000000000,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10270,WARTH,1,1996-08-01,1996-08-29,1996-08-02,1,136.540000000000000000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10271,SPLIR,6,1996-08-01,1996-08-29,1996-08-30,2,4.540000000000000000,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,RATTC,6,1996-08-02,1996-08-30,1996-08-06,2,98.030000000000000000,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10273,QUICK,3,1996-08-05,1996-09-02,1996-08-12,3,76.070000000000000000,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10274,VINET,6,1996-08-06,1996-09-03,1996-08-16,1,6.010000000000000000,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10275,MAGAA,1,1996-08-07,1996-09-04,1996-08-09,1,26.930000000000000000,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10276,TORTU,8,1996-08-08,1996-08-22,1996-08-14,3,13.840000000000000000,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10277,MORGK,2,1996-08-09,1996-09-06,1996-08-13,3,125.770000000000000000,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany
10278,BERGS,8,1996-08-12,1996-09-09,1996-08-16,2,92.690000000000000000,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10279,LEHMS,8,1996-08-13,1996-09-10,1996-08-16,2,25.830000000000000000,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10280,BERGS,2,1996-08-14,1996-09-11,1996-09-12,1,8.980000000000000000,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10281,ROMEY,4,1996-08-14,1996-08-28,1996-08-21,1,2.940000000000000000,Romero y tomillo,Gran Vía 1,Madrid,,28001,Spain
10282,ROMEY,4,1996-08-15,1996-09-12,1996-08-21,1,12.690000000000000000,Romero y tomillo,Gran Vía 1,Madrid,,28001,Spain
10283,LILAS,3,1996-08-16,1996-09-13,1996-08-23,3,84.810000000000000000,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,LEHMS,4,1996-08-19,1996-09-16,1996-08-27,1,76.560000000000000000,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10285,QUICK,1,1996-08-20,1996-09-17,1996-08-26,2,76.830000000000000000,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10286,QUICK,8,1996-08-21,1996-09-18,1996-08-30,3,229.240000000000000000,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10287,RICAR,8,1996-08-22,1996-09-19,1996-08-28,3,12.760000000000000000,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil
10288,REGGC,4,1996-08-23,1996-09-20,1996-09-03,1,7.450000000000000000,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy
10289,BSBEV,7,1996-08-26,1996-09-23,1996-08-28,3,22.770000000000000000,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK
10290,COMMI,8,1996-08-27,1996-09-24,1996-09-03,1,79.700000000000000000,Comércio Mineiro,Av. dos Lusíadas 23,Sao Paulo,SP,05432-043,Brazil
10291,QUEDE,6,1996-08-27,1996-09-24,1996-09-04,2,6.400000000000000000,Que Delícia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10292,TRADH,1,1996-08-28,1996-09-25,1996-09-02,2,1.350000000000000000,Tradiçao Hipermercados,Av. Inês de Castro 414,Sao Paulo,SP,05634-030,Brazil
10293,TORTU,1,1996-08-29,1996-09-26,1996-09-11,3,21.180000000000000000,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10294,RATTC,4,1996-08-30,1996-09-27,1996-09-05,2,147.260000000000000000,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10295,VINET,2,1996-09-02,1996-09-30,1996-09-10,2,1.150000000000000000,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
10296,LILAS,6,1996-09-03,1996-10-01,1996-09-11,1,0.120000000000000000,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,BLONP,5,1996-09-04,1996-10-16,1996-09-10,2,5.740000000000000000,Blondel père et fils,24 place Kléber,Strasbourg,,67000,France
10298,HUNGO,6,1996-09-05,1996-10-03,1996-09-11,2,168.220000000000000000,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10299,RICAR,4,1996-09-06,1996-10-04,1996-09-13,2,29.760000000000000000,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil
10300,MAGAA,2,1996-09-09,1996-10-07,1996-09-18,2,17.680000000000000000,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10301,WANDK,8,1996-09-09,1996-10-07,1996-09-17,2,45.080000000000000000,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10302,SUPRD,4,1996-09-10,1996-10-08,1996-10-09,2,6.270000000000000000,Suprêmes délices,Boulevard Tirou 255,Charleroi,,B-6000,Belgium
10303,GODOS,7,1996-09-11,1996-10-09,1996-09-18,2,107.830000000000000000,Godos Cocina Típica,C/ Romero 33,Sevilla,,41101,Spain
10304,TORTU,1,1996-09-12,1996-10-10,1996-09-17,2,63.790000000000000000,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10305,OLDWO,8,1996-09-13,1996-10-11,1996-10-09,3,257.620000000000000000,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10306,ROMEY,1,1996-09-16,1996-10-14,1996-09-23,3,7.560000000000000000,Romero y tomillo,Gran Vía 1,Madrid,,28001,Spain
10307,LONEP,2,1996-09-17,1996-10-15,1996-09-25,2,0.560000000000000000,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10308,ANATR,7,1996-09-18,1996-10-16,1996-09-24,3,1.610000000000000000,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico
10309,HUNGO,3,1996-09-19,1996-10-17,1996-10-23,1,47.300000000000000000,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10310,THEBI,8,1996-09-20,1996-10-18,1996-09-27,2,17.520000000000000000,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10311,DUMON,1,1996-09-20,1996-10-04,1996-09-26,3,24.690000000000000000,Du monde entier,67 rue des Cinquante Otages,Nantes,,44000,France
10312,WANDK,2,1996-09-23,1996-10-21,1996-10-03,2,40.260000000000000000,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10313,QUICK,2,1996-09-24,1996-10-22,1996-10-04,2,1.960000000000000000,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10314,RATTC,1,1996-09-25,1996-10-23,1996-10-04,2,74.160000000000000000,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10315,ISLAT,4,1996-09-26,1996-10-24,1996-10-03,2,41.760000000000000000,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10316,RATTC,1,1996-09-27,1996-10-25,1996-10-08,3,150.150000000000000000,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10317,LONEP,6,1996-09-30,1996-10-28,1996-10-10,1,12.690000000000000000,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10318,ISLAT,8,1996-10-01,1996-10-29,1996-10-04,2,4.730000000000000000,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10319,TORTU,7,1996-10-02,1996-10-30,1996-10-11,3,64.500000000000000000,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10320,WARTH,5,1996-10-03,1996-10-17,1996-10-18,3,34.570000000000000000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10321,ISLAT,3,1996-10-03,1996-10-31,1996-10-11,2,3.430000000000000000,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10322,PERIC,7,1996-10-04,1996-11-01,1996-10-23,3,0.400000000000000000,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
10323,KOENE,4,1996-10-07,1996-11-04,1996-10-14,1,4.880000000000000000,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
10324,SAVEA,9,1996-10-08,1996-11-05,1996-10-10,1,214.270000000000000000,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10325,KOENE,1,1996-10-09,1996-10-23,1996-10-14,3,64.860000000000000000,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
10326,BOLID,4,1996-10-10,1996-11-07,1996-10-14,2,77.920000000000000000,Bólido Comidas preparadas,C/ Araquil 67,Madrid,,28023,Spain
10327,FOLKO,2,1996-10-11,1996-11-08,1996-10-14,1,63.360000000000000000,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10328,FURIB,4,1996-10-14,1996-11-11,1996-10-17,3,87.030000000000000000,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10329,SPLIR,4,1996-10-15,1996-11-26,1996-10-23,2,191.670000000000000000,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10330,LILAS,3,1996-10-16,1996-11-13,1996-10-28,1,12.750000000000000000,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,BONAP,9,1996-10-16,1996-11-27,1996-10-21,1,10.190000000000000000,Bon app',12 rue des Bouchers,Marseille,,13008,France
10332,MEREP,3,1996-10-17,1996-11-28,1996-10-21,2,52.840000000000000000,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10333,WARTH,5,1996-10-18,1996-11-15,1996-10-25,3,0.590000000000000000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10334,VICTE,8,1996-10-21,1996-11-18,1996-10-28,2,8.560000000000000000,Victuailles en stock,2 rue du Commerce,Lyon,,69004,France
10335,HUNGO,7,1996-10-22,1996-11-19,1996-10-24,2,42.110000000000000000,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10336,PRINI,7,1996-10-23,1996-11-20,1996-10-25,2,15.510000000000000000,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
10337,FRANK,4,1996-10-24,1996-11-21,1996-10-29,3,108.260000000000000000,Frankenversand,Berliner Platz 43,München,,80805,Germany
10338,OLDWO,4,1996-10-25,1996-11-22,1996-10-29,3,84.210000000000000000,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10339,MEREP,2,1996-10-28,1996-11-25,1996-11-04,2,15.660000000000000000,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10340,BONAP,1,1996-10-29,1996-11-26,1996-11-08,3,166.310000000000000000,Bon app',12 rue des Bouchers,Marseille,,13008,France
10341,SIMOB,7,1996-10-29,1996-11-26,1996-11-05,3,26.780000000000000000,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark
10342,FRANK,4,1996-10-30,1996-11-13,1996-11-04,2,54.830000000000000000,Frankenversand,Berliner Platz 43,München,,80805,Germany
10343,LEHMS,4,1996-10-31,1996-11-28,1996-11-06,1,110.370000000000000000,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10344,WHITC,4,1996-11-01,1996-11-29,1996-11-05,2,23.290000000000000000,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10345,QUICK,2,1996-11-04,1996-12-02,1996-11-11,2,249.060000000000000000,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10346,RATTC,3,1996-11-05,1996-12-17,1996-11-08,3,142.080000000000000000,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10347,FAMIA,4,1996-11-06,1996-12-04,1996-11-08,3,3.100000000000000000,Familia Arquibaldo,Rua Orós 92,Sao Paulo,SP,05442-030,Brazil
10348,WANDK,4,1996-11-07,1996-12-05,1996-11-15,2,0.780000000000000000,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10349,SPLIR,7,1996-11-08,1996-12-06,1996-11-15,1,8.630000000000000000,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,LAMAI,6,1996-11-11,1996-12-09,1996-12-03,2,64.190000000000000000,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10351,ERNSH,1,1996-11-11,1996-12-09,1996-11-20,1,162.330000000000000000,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10352,FURIB,3,1996-11-12,1996-11-26,1996-11-18,3,1.300000000000000000,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10353,PICCO,7,1996-11-13,1996-12-11,1996-11-25,3,360.630000000000000000,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
10354,PERIC,8,1996-11-14,1996-12-12,1996-11-20,3,53.800000000000000000,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
10355,AROUT,6,1996-11-15,1996-12-13,1996-11-20,1,41.950000000000000000,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10356,WANDK,6,1996-11-18,1996-12-16,1996-11-27,2,36.710000000000000000,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10357,LILAS,1,1996-11-19,1996-12-17,1996-12-02,3,34.880000000000000000,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,LAMAI,5,1996-11-20,1996-12-18,1996-11-27,1,19.640000000000000000,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10359,SEVES,5,1996-11-21,1996-12-19,1996-11-26,3,288.430000000000000000,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10360,BLONP,4,1996-11-22,1996-12-20,1996-12-02,3,131.700000000000000000,Blondel père et fils,24 place Kléber,Strasbourg,,67000,France
10361,QUICK,1,1996-11-22,1996-12-20,1996-12-03,2,183.170000000000000000,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10362,BONAP,3,1996-11-25,1996-12-23,1996-11-28,1,96.040000000000000000,Bon app',12 rue des Bouchers,Marseille,,13008,France
10363,DRACD,4,1996-11-26,1996-12-24,1996-12-04,3,30.540000000000000000,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
10364,EASTC,1,1996-11-26,1997-01-07,1996-12-04,1,71.970000000000000000,Eastern Connection,35 King George,London,,WX3 6FW,UK
10365,ANTON,3,1996-11-27,1996-12-25,1996-12-02,2,22.000000000000000000,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico
10366,GALED,8,1996-11-28,1997-01-09,1996-12-30,2,10.140000000000000000,Galería del gastronómo,Rambla de Cataluña 23,Barcelona,,8022,Spain
10367,VAFFE,7,1996-11-28,1996-12-26,1996-12-02,3,13.550000000000000000,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
10368,ERNSH,2,1996-11-29,1996-12-27,1996-12-02,2,101.950000000000000000,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10369,SPLIR,8,1996-12-02,1996-12-30,1996-12-09,2,195.680000000000000000,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10370,CHOPS,6,1996-12-03,1996-12-31,1996-12-27,2,1.170000000000000000,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10371,LAMAI,1,1996-12-03,1996-12-31,1996-12-24,1,0.450000000000000000,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10372,QUEEN,5,1996-12-04,1997-01-01,1996-12-09,2,890.780000000000000000,Queen Cozinha,Alameda dos Canàrios 891,Sao Paulo,SP,05487-020,Brazil
10373,HUNGO,4,1996-12-05,1997-01-02,1996-12-11,3,124.120000000000000000,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10374,WOLZA,1,1996-12-05,1997-01-02,1996-12-09,3,3.940000000000000000,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Poland
10375,HUNGC,3,1996-12-06,1997-01-03,1996-12-09,2,20.120000000000000000,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10376,MEREP,1,1996-12-09,1997-01-06,1996-12-13,2,20.390000000000000000,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10377,SEVES,1,1996-12-09,1997-01-06,1996-12-13,3,22.210000000000000000,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10378,FOLKO,5,1996-12-10,1997-01-07,1996-12-19,3,5.440000000000000000,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10379,QUEDE,2,1996-12-11,1997-01-08,1996-12-13,1,45.030000000000000000,Que Delícia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10380,HUNGO,8,1996-12-12,1997-01-09,1997-01-16,3,35.030000000000000000,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10381,LILAS,3,1996-12-12,1997-01-09,1996-12-13,3,7.990000000000000000,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,ERNSH,4,1996-12-13,1997-01-10,1996-12-16,1,94.770000000000000000,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10383,AROUT,8,1996-12-16,1997-01-13,1996-12-18,3,34.240000000000000000,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10384,BERGS,3,1996-12-16,1997-01-13,1996-12-20,3,168.640000000000000000,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10385,SPLIR,1,1996-12-17,1997-01-14,1996-12-23,2,30.960000000000000000,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10386,FAMIA,9,1996-12-18,1997-01-01,1996-12-25,3,13.990000000000000000,Familia Arquibaldo,Rua Orós 92,Sao Paulo,SP,05442-030,Brazil
10387,SANTG,1,1996-12-18,1997-01-15,1996-12-20,2,93.630000000000000000,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway
10388,SEVES,2,1996-12-19,1997-01-16,1996-12-20,1,34.860000000000000000,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10389,BOTTM,4,1996-12-20,1997-01-17,1996-12-24,2,47.420000000000000000,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10390,ERNSH,6,1996-12-23,1997-01-20,1996-12-26,1,126.380000000000000000,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10391,DRACD,3,1996-12-23,1997-01-20,1996-12-31,3,5.450000000000000000,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
10392,PICCO,2,1996-12-24,1997-01-21,1997-01-01,3,122.460000000000000000,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
10393,SAVEA,1,1996-12-25,1997-01-22,1997-01-03,3,126.560000000000000000,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10394,HUNGC,1,1996-12-25,1997-01-22,1997-01-03,3,30.340000000000000000,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10395,HILAA,6,1996-12-26,1997-01-23,1997-01-03,1,184.410000000000000000,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10396,FRANK,1,1996-12-27,1997-01-10,1997-01-06,3,135.350000000000000000,Frankenversand,Berliner Platz 43,München,,80805,Germany
10397,PRINI,5,1996-12-27,1997-01-24,1997-01-02,1,60.260000000000000000,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
10398,SAVEA,2,1996-12-30,1997-01-27,1997-01-09,3,89.160000000000000000,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10399,VAFFE,8,1996-12-31,1997-01-14,1997-01-08,3,27.360000000000000000,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
10400,EASTC,1,1997-01-01,1997-01-29,1997-01-16,3,83.930000000000000000,Eastern Connection,35 King George,London,,WX3 6FW,UK
10401,RATTC,1,1997-01-01,1997-01-29,1997-01-10,1,12.510000000000000000,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10402,ERNSH,8,1997-01-02,1997-02-13,1997-01-10,2,67.880000000000000000,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10403,ERNSH,4,1997-01-03,1997-01-31,1997-01-09,3,73.790000000000000000,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10404,MAGAA,2,1997-01-03,1997-01-31,1997-01-08,1,155.970000000000000000,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10405,LINOD,1,1997-01-06,1997-02-03,1997-01-22,1,34.820000000000000000,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
10406,QUEEN,7,1997-01-07,1997-02-18,1997-01-13,1,108.040000000000000000,Queen Cozinha,Alameda dos Canàrios 891,Sao Paulo,SP,05487-020,Brazil
10407,OTTIK,2,1997-01-07,1997-02-04,1997-01-30,2,91.480000000000000000,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
10408,FOLIG,8,1997-01-08,1997-02-05,1997-01-14,1,11.260000000000000000,Folies gourmandes,184 chaussée de Tournai,Lille,,59000,France
10409,OCEAN,3,1997-01-09,1997-02-06,1997-01-14,1,29.830000000000000000,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina
10410,BOTTM,3,1997-01-10,1997-02-07,1997-01-15,3,2.400000000000000000,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10411,BOTTM,9,1997-01-10,1997-02-07,1997-01-21,3,23.650000000000000000,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10412,WARTH,8,1997-01-13,1997-02-10,1997-01-15,2,3.770000000000000000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10413,LAMAI,3,1997-01-14,1997-02-11,1997-01-16,2,95.660000000000000000,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10414,FAMIA,2,1997-01-14,1997-02-11,1997-01-17,3,21.480000000000000000,Familia Arquibaldo,Rua Orós 92,Sao Paulo,SP,05442-030,Brazil
10415,HUNGC,3,1997-01-15,1997-02-12,1997-01-24,1,0.200000000000000000,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10416,WARTH,8,1997-01-16,1997-02-13,1997-01-27,3,22.720000000000000000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10417,SIMOB,4,1997-01-16,1997-02-13,1997-01-28,3,70.290000000000000000,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark
10418,QUICK,4,1997-01-17,1997-02-14,1997-01-24,1,17.550000000000000000,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
10419,RICSU,4,1997-01-20,1997-02-17,1997-01-30,2,137.350000000000000000,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
